hiro/0,models/global/m_hiro.dkm,models/players/hiro/0.skin,skins/hiro_bod_1.wal,Metal
mikiko/0,models/global/m_mikiko.dkm,models/players/mikiko/0.skin,skins/miko_bod_1.wal,Metal
superfly/0,models/global/m_superfly.dkm,models/players/superfly/0.skin,skins/sfly_bod_1.wal,Metal
hiro/1,models/global/m_hiro.dkm,models/players/hiro/1.skin,skins/hiro_bod_2.wal,Green
mikiko/1,models/global/m_mikiko.dkm,models/players/mikiko/1.skin,skins/miko_bod_2.wal,Green
superfly/1,models/global/m_superfly.dkm,models/players/superfly/1.skin,skins/sfly_bod_2.wal,Green
hiro/2,models/global/m_hiro.dkm,models/players/hiro/2.skin,skins/hiro_bod_3.wal,Blue
mikiko/2,models/global/m_mikiko.dkm,models/players/mikiko/2.skin,skins/miko_bod_3.wal,Blue
superfly/2,models/global/m_superfly.dkm,models/players/superfly/2.skin,skins/sfly_bod_3.wal,Blue
hiro/3,models/global/m_hiro.dkm,models/players/hiro/3.skin,skins/hiro_bod_4.wal,Chrome
mikiko/3,models/global/m_mikiko.dkm,models/players/mikiko/3.skin,skins/miko_bod_4.wal,Chrome
superfly/3,models/global/m_superfly.dkm,models/players/superfly/3.skin,skins/sfly_bod_4.wal,Chrome
hiro/4,models/global/m_hiro.dkm,models/players/hiro/4.skin,skins/hiro_bod_5.wal,Orange
mikiko/4,models/global/m_mikiko.dkm,models/players/mikiko/4.skin,skins/miko_bod_5.wal,Orange
superfly/4,models/global/m_superfly.dkm,models/players/superfly/4.skin,skins/sfly_bod_5.wal,Orange
hiro/5,models/global/m_hiro.dkm,models/players/hiro/5.skin,skins/hiro_bod_6.wal,Purple
mikiko/5,models/global/m_mikiko.dkm,models/players/mikiko/5.skin,skins/miko_bod_6.wal,Purple
superfly/5,models/global/m_superfly.dkm,models/players/superfly/5.skin,skins/sfly_bod_6.wal,Purple
hiro/6,models/global/m_hiro.dkm,models/players/hiro/6.skin,skins/hiro_bod_7.wal,Yellow
mikiko/6,models/global/m_mikiko.dkm,models/players/mikiko/6.skin,skins/miko_bod_7.wal,Yellow
superfly/6,models/global/m_superfly.dkm,models/players/superfly/6.skin,skins/sfly_bod_7.wal,Yellow
hiro/7,models/global/m_hiro.dkm,models/players/hiro/7.skin,skins/hiro_bod_8.wal,Red
mikiko/7,models/global/m_mikiko.dkm,models/players/mikiko/7.skin,skins/miko_bod_8.wal,Red
superfly/7,models/global/m_superfly.dkm,models/players/superfly/7.skin,skins/sfly_bod_8.wal,Red
hiro/8,models/global/m_hiro.dkm,models/players/hiro/8.skin,skins/hiro_bod_9.wal,Dark Blue
mikiko/8,models/global/m_mikiko.dkm,models/players/mikiko/8.skin,skins/miko_bod_9.wal,Dark Blue
superfly/8,models/global/m_superfly.dkm,models/players/superfly/8.skin,skins/sfly_bod_9.wal,Dark Blue
hiro/9,models/global/m_hiro.dkm,models/players/hiro/9.skin,skins/hiro_bod_10.wal,Gold
mikiko/9,models/global/m_mikiko.dkm,models/players/mikiko/9.skin,skins/miko_bod_10.wal,Gold
superfly/9,models/global/m_superfly.dkm,models/players/superfly/9.skin,skins/sfly_bod_10.wal,Gold
hiro/10,models/global/m_hiro.dkm,models/players/hiro/10.skin,skins/hiro_bod_11.wal,Maroon
mikiko/10,models/global/m_mikiko.dkm,models/players/mikiko/10.skin,skins/miko_bod_11.wal,Maroon
superfly/10,models/global/m_superfly.dkm,models/players/superfly/10.skin,skins/sfly_bod_11.wal,Maroon
hiro/11,models/global/m_hiro.dkm,models/players/hiro/11.skin,skins/hiro_bod_12.wal,Olive
mikiko/11,models/global/m_mikiko.dkm,models/players/mikiko/11.skin,skins/miko_bod_12.wal,Olive
superfly/11,models/global/m_superfly.dkm,models/players/superfly/11.skin,skins/sfly_bod_12.wal,Olive
